time,mRNA
0.000, 0
0.010, 4
0.020, 4
0.030, 4
0.040, 4
0.050, 6
0.060, 7
0.070, 7
0.080, 7
0.090, 6
0.100, 5
0.110, 6
0.120, 5
0.130, 7
0.140, 7
0.150, 8
0.160, 10
0.170, 14
0.180, 15
0.190, 15
0.200, 16
0.210, 16
0.220, 17
0.230, 18
0.240, 18
0.250, 19
0.260, 22
0.270, 24
0.280, 23
0.290, 26
0.300, 26
0.310, 26
0.320, 26
0.330, 26
0.340, 26
0.350, 24
0.360, 24
0.370, 25
0.380, 26
0.390, 26
0.400, 26
0.410, 26
0.420, 26
0.430, 28
0.440, 29
0.450, 29
0.460, 30
0.470, 30
0.480, 32
0.490, 32
0.500, 32
0.510, 34
0.520, 35
0.530, 36
0.540, 38
0.550, 38
0.560, 38
0.570, 39
0.580, 40
0.590, 42
0.600, 42
0.610, 44
0.620, 45
0.630, 45
0.640, 45
0.650, 45
0.660, 47
0.670, 49
0.680, 49
0.690, 51
0.700, 51
0.710, 50
0.720, 50
0.730, 51
0.740, 52
0.750, 50
0.760, 50
0.770, 50
0.780, 50
0.790, 50
0.800, 51
0.810, 51
0.820, 53
0.830, 53
0.840, 53
0.850, 55
0.860, 56
0.870, 58
0.880, 59
0.890, 58
0.900, 59
0.910, 58
0.920, 59
0.930, 60
0.940, 61
0.950, 60
0.960, 61
0.970, 60
0.980, 60
0.990, 60
1.000, 61
1.010, 62
1.020, 62
1.030, 62
1.040, 62
1.050, 61
1.060, 61
1.070, 63
1.080, 64
1.090, 65
1.100, 68
1.110, 69
1.120, 71
1.130, 70
1.140, 69
1.150, 69
1.160, 69
1.170, 68
1.180, 68
1.190, 68
1.200, 70
1.210, 68
1.220, 70
1.230, 69
1.240, 69
1.250, 70
1.260, 71
1.270, 71
1.280, 70
1.290, 73
1.300, 73
1.310, 72
1.320, 73
1.330, 73
1.340, 74
1.350, 74
1.360, 75
1.370, 75
1.380, 73
1.390, 72
1.400, 72
1.410, 73
1.420, 73
1.430, 73
1.440, 74
1.450, 73
1.460, 73
1.470, 74
1.480, 73
1.490, 72
1.500, 75
1.510, 76
1.520, 76
1.530, 78
1.540, 77
1.550, 77
1.560, 77
1.570, 75
1.580, 74
1.590, 74
1.600, 73
1.610, 72
1.620, 74
1.630, 73
1.640, 74
1.650, 75
1.660, 75
1.670, 75
1.680, 73
1.690, 71
1.700, 69
1.710, 67
1.720, 67
1.730, 68
1.740, 68
1.750, 67
1.760, 68
1.770, 69
1.780, 72
1.790, 75
1.800, 75
1.810, 75
1.820, 75
1.830, 74
1.840, 77
1.850, 77
1.860, 76
1.870, 74
1.880, 75
1.890, 77
1.900, 77
1.910, 76
1.920, 75
1.930, 74
1.940, 72
1.950, 74
1.960, 74
1.970, 75
1.980, 73
1.990, 74
2.000, 75
2.010, 74
2.020, 73
2.030, 76
2.040, 78
2.050, 78
2.060, 76
2.070, 75
2.080, 72
2.090, 71
2.100, 72
2.110, 74
2.120, 73
2.130, 74
2.140, 75
2.150, 76
2.160, 77
2.170, 77
2.180, 76
2.190, 77
2.200, 76
2.210, 79
2.220, 82
2.230, 83
2.240, 84
2.250, 84
2.260, 85
2.270, 85
2.280, 85
2.290, 84
2.300, 86
2.310, 86
2.320, 87
2.330, 86
2.340, 87
2.350, 87
2.360, 85
2.370, 88
2.380, 90
2.390, 89
2.400, 86
2.410, 85
2.420, 86
2.430, 86
2.440, 84
2.450, 85
2.460, 83
2.470, 82
2.480, 82
2.490, 84
2.500, 84
2.510, 84
2.520, 86
2.530, 86
2.540, 85
2.550, 85
2.560, 86
2.570, 83
2.580, 81
2.590, 83
2.600, 82
2.610, 83
2.620, 84
2.630, 83
2.640, 83
2.650, 85
2.660, 86
2.670, 87
2.680, 87
2.690, 89
2.700, 88
2.710, 87
2.720, 89
2.730, 90
2.740, 91
2.750, 95
2.760, 95
2.770, 96
2.780, 96
2.790, 93
2.800, 94
2.810, 92
2.820, 92
2.830, 89
2.840, 89
2.850, 91
2.860, 91
2.870, 88
2.880, 90
2.890, 88
2.900, 91
2.910, 91
2.920, 88
2.930, 88
2.940, 86
2.950, 85
2.960, 86
2.970, 86
2.980, 87
2.990, 89
3.000, 90
3.010, 90
3.020, 92
3.030, 92
3.040, 91
3.050, 92
3.060, 91
3.070, 91
3.080, 91
3.090, 91
3.100, 89
3.110, 90
3.120, 93
3.130, 94
3.140, 93
3.150, 93
3.160, 94
3.170, 95
3.180, 98
3.190, 99
3.200, 100
3.210, 100
3.220, 98
3.230, 99
3.240, 100
3.250, 100
3.260, 102
3.270, 103
3.280, 102
3.290, 102
3.300, 104
3.310, 106
3.320, 107
3.330, 106
3.340, 106
3.350, 105
3.360, 105
3.370, 104
3.380, 104
3.390, 105
3.400, 103
3.410, 105
3.420, 104
3.430, 103
3.440, 107
3.450, 105
3.460, 104
3.470, 105
